Lifespan Number → ,WLSAUTOPLOT,,,,,,,,,,,,,,,,,Lifespan Description:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Worm Strain → ,yfg-3,,,,Date Eggs Picked → ,06/21/23,,,,,,,Temp → ,20c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bacteria → ,PAD12,,,,Date FUDR Added → ,06/23/23,,,,,,,Color → ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Treatment → ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Initials,JT,JT,JT,JT,JT,JT,JT,AA,,JT,,JT,JT,JT,,AA,JT,JT,JT,JT,JT,AA,AA,AA,AA,AA,AA,AA,AA,,AA,AA,AA,AA,,,,,,,,,,,,,,,,
Plate,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,Alive,5,5,5,5,5,5,5,5,,5,,4,3,3,,3,3,2,2,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
1,Dead,0,0,0,0,0,0,0,0,,0,,1,1,0,,0,0,1,0,2,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
1,Missing-Exploded,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
1,Missing-Bagged,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
1,Missing,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
2,Alive,3,3,3,3,3,3,3,2,,2,,2,2,2,,1,1,1,1,1,1,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
2,Dead,0,0,0,0,0,0,0,0,,0,,0,0,0,,1,0,0,0,0,0,0,1,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
2,Missing-Exploded,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
2,Missing-Bagged,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
2,Missing,0,0,0,0,0,0,0,1,,0,,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
3,Alive,8,8,8,8,8,6,6,6,,6,,6,6,6,,5,5,5,4,4,3,1,1,1,1,1,,1,1,,1,1,1,0,,,,,,,,,,,,,,,,
3,Dead,0,0,0,0,0,1,0,0,,0,,0,0,0,,1,0,0,1,0,1,1,0,0,0,0,,0,0,,0,0,0,1,,,,,,,,,,,,,,,,
3,Missing-Exploded,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
3,Missing-Bagged,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
3,Missing,0,0,0,0,0,1,0,0,,0,,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
4,Alive,12,12,11,11,11,11,10,8,,7,,6,4,4,,3,3,3,2,2,1,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
4,Dead,0,0,0,0,0,0,0,1,,1,,1,2,0,,1,0,0,1,0,1,1,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
4,Missing-Exploded,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
4,Missing-Bagged,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
4,Missing,0,0,1,0,0,0,1,1,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
5,Alive,4,4,4,4,4,4,4,4,,3,,3,3,3,,3,2,1,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
5,Dead,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,1,1,0,1,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
5,Missing-Exploded,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
5,Missing-Bagged,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
5,Missing,0,0,0,0,0,0,0,0,,1,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
6,Alive,6,6,6,6,6,6,6,5,,5,,5,5,5,,5,4,2,2,1,1,1,1,1,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
6,Dead,0,0,0,0,0,0,0,1,,0,,0,0,0,,0,1,2,0,1,0,0,0,0,1,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
6,Missing-Exploded,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
6,Missing-Bagged,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
6,Missing,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
